numberOfData, addingTime, findingTime, deletingTime
1, 6200, 11281900, 19400
2, 4500, 16100, 10300
3, 4300, 12600, 10100
4, 3400, 13200, 10800
5, 7900, 26500, 12000
6, 3800, 14200, 11900
7, 3500, 12700, 11200
8, 6300, 13300, 11000
9, 4000, 13800, 10800
10, 4200, 13100, 13200
11, 5100, 14600, 12800
12, 4900, 13200, 31800
13, 6400, 22300, 20600
14, 4400, 13700, 18000
15, 2500, 11800, 19200
16, 5600, 14100, 14100
17, 3300, 16600, 10300
18, 3600, 15200, 11100
19, 13700, 15800, 6200
20, 1800, 7600, 6000
21, 1700, 8100, 7200
22, 2200, 7500, 6800
23, 1800, 8500, 6300
24, 1500, 8700, 6200
25, 1500, 9400, 14900
26, 1300, 15700, 6800
27, 1300, 8700, 6000
28, 1900, 9500, 5900
29, 2100, 7800, 6400
30, 2000, 8400, 5600
31, 2500, 7500, 7500
32, 2300, 9700, 13400
33, 1300, 7800, 6000
34, 2100, 7800, 6700
35, 2000, 7000, 5500
36, 1200, 6800, 5600
37, 1200, 6500, 6100
38, 1200, 6500, 5200
39, 1400, 7200, 5500
40, 1300, 6900, 6500
41, 1900, 7000, 5400
42, 2300, 20600, 7400
43, 1400, 8400, 10500
44, 1300, 8000, 5900
45, 2400, 7700, 6200
46, 1100, 7800, 5400
47, 1700, 6700, 4900
48, 2400, 7800, 6000
49, 1300, 12900, 6700
50, 2000, 7700, 7200
51, 1800, 13200, 9800
52, 1800, 8800, 9400
53, 2000, 8600, 7000
54, 1200, 7700, 5700
55, 2300, 9100, 7100
56, 2900, 8500, 8800
57, 1800, 9500, 6200
58, 1800, 7300, 12400
59, 1700, 7600, 7400
60, 1300, 7400, 5400
61, 5400, 21300, 26900
62, 3900, 18200, 7400
63, 1700, 7700, 6400
64, 2500, 8900, 13400
65, 1600, 8000, 5100
66, 1600, 6400, 5300
67, 2000, 9200, 5600
68, 1900, 9200, 5300
69, 1300, 7200, 6000
70, 2000, 6800, 5400
71, 1100, 6800, 5500
72, 1600, 7100, 6100
73, 2800, 15000, 6800
74, 1800, 8700, 5700
75, 1000, 6500, 6500
76, 1300, 6300, 5000
77, 2200, 6400, 5900
78, 1500, 6600, 6400
79, 1300, 6200, 26800
80, 2200, 21900, 7100
81, 1300, 8500, 5500
82, 2100, 6100, 6900
83, 2100, 8900, 7800
84, 1400, 9900, 5400
85, 1800, 6500, 9000
86, 1300, 5600, 4400
87, 1200, 7500, 5300
88, 1800, 8100, 5200
89, 3600, 19900, 9000
90, 3800, 8700, 6800
91, 1700, 6100, 5900
92, 2000, 6100, 4400
93, 2400, 6200, 5700
94, 2900, 5700, 5900
95, 1900, 7600, 4700
96, 2100, 6300, 4900
97, 4700, 53500, 13900
98, 3000, 11700, 5600
99, 1500, 6300, 5300
100, 1300, 6900, 4800
101, 2400, 5700, 4500
102, 1200, 5400, 4100
103, 1200, 6300, 4700
104, 1400, 5500, 4700
105, 1800, 7400, 4700
106, 1300, 7100, 4400
107, 2500, 6100, 4400
108, 1200, 5700, 5000
109, 1200, 6800, 4600
110, 1200, 5900, 5900
111, 1800, 10100, 5300
112, 1500, 7200, 5300
113, 2100, 5900, 6100
114, 1200, 5800, 4900
115, 1400, 6400, 4700
116, 1700, 6100, 6200
117, 2400, 8300, 4900
118, 1100, 6200, 4900
119, 1700, 6600, 4400
120, 1600, 5400, 5600
121, 1800, 5900, 5200
122, 1900, 9000, 6300
123, 1000, 6300, 5200
124, 1700, 5400, 4500
125, 1500, 6900, 4900
126, 900, 5800, 4900
127, 3200, 8600, 6000
128, 2600, 9300, 9600
129, 1900, 7400, 6500
130, 1900, 6900, 6200
131, 1700, 6300, 4300
132, 1100, 5500, 5200
133, 2100, 9600, 8300
134, 1900, 6400, 4400
135, 1900, 5600, 5800
136, 3400, 8400, 5200
137, 8500, 6900, 5600
138, 2000, 7100, 4800
139, 1300, 6300, 5000
140, 1700, 5200, 4200
141, 900, 6600, 4700
142, 2000, 9300, 5800
143, 6100, 7200, 4800
144, 1900, 8100, 5600
145, 1500, 5700, 4100
146, 1500, 5800, 4600
147, 1200, 10500, 8600
148, 1700, 5900, 6100
149, 1400, 6500, 5000
